2010-02-04,02:49,77.196.202.159,tracker_ad_category,awm1316e,,1280,130
2010-02-04,02:49,77.196.202.159,tracker_pushy_ads,fmj1361,,1316,
2010-02-04,02:49,77.196.202.159,tracker_ad_category,fmj1361,,1316,101
2010-02-04,02:49,77.196.202.159,tracker_pushy_ads,g1341xr,,1288,
2010-02-04,02:49,77.196.202.159,tracker_ad_category,g1341xr,,1288,101
2010-02-04,02:49,77.196.202.159,tracker_ad_category,g1341xr,,1288,108
2010-02-04,02:49,77.196.202.159,tracker_ad_category,g1341xr,,1288,130
2010-02-04,02:49,77.196.202.159,tracker_ad_category,g1341xr,,1288,138
2010-02-04,02:49,77.196.202.159,tracker_ad_category,g1341xr,,1288,139
2010-02-04,02:49,77.196.202.159,tracker_ad_category,g1341xr,,1288,145
2010-02-04,02:49,77.196.202.159,tracker_pushy_ads,sbv1424d,,1319,
2010-02-04,02:49,77.196.202.159,tracker_ad_category,sbv1424d,,1319,116
2010-02-04,02:49,77.196.202.159,tracker_ad_category,sbv1424d,,1319,118
2010-02-04,02:49,77.196.202.159,tracker_ad_category,sbv1424d,,1319,119
2010-02-04,02:49,77.196.202.159,tracker_ad_category,sbv1424d,,1319,124
2010-02-04,02:49,77.196.202.159,tracker_ad_category,sbv1424d,,1319,130
2010-02-04,02:49,77.196.202.159,tracker_ad_category,sbv1424d,,1319,137
2010-02-04,02:49,77.196.202.159,tracker_pushy_ads,paw1200,,1277,
2010-02-04,02:49,77.196.202.159,tracker_ad_category,paw1200,,1277,101
2010-02-04,02:49,77.196.202.159,tracker_ad_category,paw1200,,1277,108
2010-02-04,02:49,77.196.202.159,tracker_ad_category,paw1200,,1277,118
2010-02-04,02:49,77.196.202.159,tracker_ad_category,paw1200,,1277,130
2010-02-04,02:49,77.196.202.159,tracker_ad_category,paw1200,,1277,145
2010-02-04,02:49,77.196.202.159,tracker_pushy_ads,rfe1319,,1317,
2010-02-04,02:49,77.196.202.159,tracker_ad_category,rfe1319,,1317,108
2010-02-04,02:49,77.196.202.159,tracker_pushy_ads,awm1316e,,1281,
2010-02-04,02:49,77.196.202.159,tracker_ad_category,awm1316e,,1281,111
2010-02-04,02:49,77.196.202.159,tracker_ad_category,awm1316e,,1281,130
2010-02-04,02:54,64.255.180.85,tracker_affiliate_page,pushy,,,
2010-02-04,02:54,172.158.92.77,tracker_pushy_widget,awm1316e,22ea104a103617207ae12d77dae2a00a@webbizte,,
2010-02-04,02:55,64.255.180.85,tracker_pushy_widget,pushy,2ff0bf884d5f568610bbc0a66551fc5d@pushy_default,,
2010-02-04,02:55,81.244.224.49,tracker_pushy_widget,awm1316e,22ea104a103617207ae12d77dae2a00a@webbizte,,
2010-02-04,02:59,78.62.147.33,tracker_pushy_widget,awm1316e,22ea104a103617207ae12d77dae2a00a@webbizte,,
2010-02-04,03:13,80.98.254.16,tracker_pushy_widget,awm1316e,22ea104a103617207ae12d77dae2a00a@webbizte,,
2010-02-04,03:27,221.189.176.16,tracker_pushy_widget,awm1316e,22ea104a103617207ae12d77dae2a00a@webbizte,,
2010-02-04,03:28,221.189.176.16,tracker_widget_category,awm1316e,22ea104a103617207ae12d77dae2a00a@webbizte,,101
2010-02-04,03:28,221.189.176.16,tracker_widget_category,awm1316e,22ea104a103617207ae12d77dae2a00a@webbizte,,130
2010-02-04,03:28,221.189.176.16,tracker_pushy_ads,awm1316e,,1280,
2010-02-04,03:28,221.189.176.16,tracker_pushy_ads_mysites,awm1316e,,1280,
2010-02-04,03:28,221.189.176.16,tracker_ad_category,awm1316e,,1280,101
2010-02-04,03:28,221.189.176.16,tracker_ad_category,awm1316e,,1280,130
2010-02-04,03:28,221.189.176.16,tracker_pushy_ads,fmj1361,,1316,
2010-02-04,03:28,221.189.176.16,tracker_ad_category,fmj1361,,1316,101
2010-02-04,03:28,221.189.176.16,tracker_pushy_ads,x1379kda,,1306,
2010-02-04,03:28,221.189.176.16,tracker_ad_category,x1379kda,,1306,130
2010-02-04,03:28,221.189.176.16,tracker_pushy_ads,g1341xr,,1288,
2010-02-04,03:28,221.189.176.16,tracker_ad_category,g1341xr,,1288,101
2010-02-04,03:28,221.189.176.16,tracker_ad_category,g1341xr,,1288,108
2010-02-04,03:28,221.189.176.16,tracker_ad_category,g1341xr,,1288,130
2010-02-04,03:28,221.189.176.16,tracker_ad_category,g1341xr,,1288,138
2010-02-04,03:28,221.189.176.16,tracker_ad_category,g1341xr,,1288,139
2010-02-04,03:28,221.189.176.16,tracker_ad_category,g1341xr,,1288,145
2010-02-04,03:28,221.189.176.16,tracker_pushy_ads,sbv1424d,,1319,
2010-02-04,03:28,221.189.176.16,tracker_ad_category,sbv1424d,,1319,116
2010-02-04,03:28,221.189.176.16,tracker_ad_category,sbv1424d,,1319,118
2010-02-04,03:28,221.189.176.16,tracker_ad_category,sbv1424d,,1319,119
2010-02-04,03:28,221.189.176.16,tracker_ad_category,sbv1424d,,1319,124
2010-02-04,03:28,221.189.176.16,tracker_ad_category,sbv1424d,,1319,130
2010-02-04,03:28,221.189.176.16,tracker_ad_category,sbv1424d,,1319,137
2010-02-04,03:28,221.189.176.16,tracker_pushy_ads,paw1200,,1277,
2010-02-04,03:28,221.189.176.16,tracker_ad_category,paw1200,,1277,101
2010-02-04,03:28,221.189.176.16,tracker_ad_category,paw1200,,1277,108
2010-02-04,03:28,221.189.176.16,tracker_ad_category,paw1200,,1277,118
2010-02-04,03:28,221.189.176.16,tracker_ad_category,paw1200,,1277,130
2010-02-04,03:28,221.189.176.16,tracker_ad_category,paw1200,,1277,145
2010-02-04,03:28,221.189.176.16,tracker_pushy_ads,rfe1319,,1317,
2010-02-04,03:28,221.189.176.16,tracker_ad_category,rfe1319,,1317,108
2010-02-04,03:39,89.42.100.136,tracker_pushy_widget,awm1316e,22ea104a103617207ae12d77dae2a00a@webbizte,,
2010-02-04,03:40,89.42.100.136,tracker_widget_category,awm1316e,22ea104a103617207ae12d77dae2a00a@webbizte,,101
2010-02-04,03:40,89.42.100.136,tracker_widget_category,awm1316e,22ea104a103617207ae12d77dae2a00a@webbizte,,130
2010-02-04,03:40,89.42.100.136,tracker_pushy_ads,awm1316e,,1280,
