2010-01-30,01:20,115.108.98.190,tracker_pushy_widget,fmj1361,690faa25a4e66f836a08eadae6f48065@your_tracking_id,,
2010-01-30,01:20,115.108.98.190,tracker_widget_category,fmj1361,690faa25a4e66f836a08eadae6f48065@your_tracking_id,,101
2010-01-30,01:20,115.108.98.190,tracker_widget_category,fmj1361,690faa25a4e66f836a08eadae6f48065@your_tracking_id,,145
2010-01-30,01:20,115.108.98.190,tracker_pushy_ads,rfe1319,,1317,
2010-01-30,01:20,115.108.98.190,tracker_ad_category,rfe1319,,1317,108
2010-01-30,01:59,85.234.186.2,tracker_pushy_widget,fmj1361,690faa25a4e66f836a08eadae6f48065@your_tracking_id,,
2010-01-30,01:59,85.234.186.2,tracker_widget_category,fmj1361,690faa25a4e66f836a08eadae6f48065@your_tracking_id,,101
2010-01-30,01:59,85.234.186.2,tracker_widget_category,fmj1361,690faa25a4e66f836a08eadae6f48065@your_tracking_id,,145
2010-01-30,01:59,85.234.186.2,tracker_pushy_ads,fmj1361,,1316,
2010-01-30,01:59,85.234.186.2,tracker_pushy_ads_mysites,fmj1361,,1316,
2010-01-30,01:59,85.234.186.2,tracker_ad_category,fmj1361,,1316,101
2010-01-30,01:59,85.234.186.2,tracker_pushy_ads,awm1316e,,1280,
2010-01-30,01:59,85.234.186.2,tracker_pushy_ads_referrals,awm1316e,,1280,
2010-01-30,01:59,85.234.186.2,tracker_ad_category,awm1316e,,1280,101
2010-01-30,01:59,85.234.186.2,tracker_ad_category,awm1316e,,1280,130
2010-01-30,01:59,85.234.186.2,tracker_pushy_ads,rfe1319,,1317,
2010-01-30,01:59,85.234.186.2,tracker_ad_category,rfe1319,,1317,108
2010-01-30,01:59,85.234.186.2,tracker_pushy_ads,paw1200,,1277,
2010-01-30,01:59,85.234.186.2,tracker_ad_category,paw1200,,1277,101
2010-01-30,01:59,85.234.186.2,tracker_ad_category,paw1200,,1277,108
2010-01-30,01:59,85.234.186.2,tracker_ad_category,paw1200,,1277,118
2010-01-30,01:59,85.234.186.2,tracker_ad_category,paw1200,,1277,130
2010-01-30,01:59,85.234.186.2,tracker_ad_category,paw1200,,1277,145
2010-01-30,01:59,85.234.186.2,tracker_pushy_ads,awm1316e,,1281,
2010-01-30,01:59,85.234.186.2,tracker_pushy_ads_referrals,awm1316e,,1281,
2010-01-30,01:59,85.234.186.2,tracker_ad_category,awm1316e,,1281,111
